bidderID;asin;bidorBuy;unixBidTime;bidTime
3144;43849;0.0;1619817149.0;1 May 2021 at 5:12:29pm PDT
3144;43849;0.0;1619817114.0;1 May 2021 at 5:11:54pm PDT
3469;8909;0.0;1620786710.0;12 May 2021 at 10:31:50pm PDT
3469;8909;0.0;1620782627.0;12 May 2021 at 9:23:47pm PDT
3469;8909;0.0;1620764128.0;12 May 2021 at 4:15:28pm PDT
3469;8909;0.0;1620764126.0;12 May 2021 at 4:15:26pm PDT
3469;8909;0.0;1620525796.0;9 May 2021 at 10:03:16am PDT
3469;8909;0.0;1620525730.0;9 May 2021 at 10:02:10am PDT
3469;8909;0.0;1620525726.0;9 May 2021 at 10:02:06am PDT
3469;8909;0.0;1620336085.0;7 May 2021 at 5:21:25pm PDT
3332;8909;0.0;1620756695.0;12 May 2021 at 2:11:35pm PDT
3332;8909;0.0;1620756690.0;12 May 2021 at 2:11:30pm PDT
7414;44189;0.0;1619742472.0;30 Apr 2021 at 8:27:52am PDT
7414;44189;0.0;1619742457.0;30 Apr 2021 at 8:27:37am PDT
7414;44189;0.0;1619716955.0;30 Apr 2021 at 1:22:35pm PDT
7414;44189;0.0;1619653855.0;29 Apr 2021 at 7:50:55am PDT
7414;44189;0.0;1619653847.0;29 Apr 2021 at 7:50:47am PDT
7386;44189;1.0;1620081036.0;4 May 2021 at 6:30:36pm PDT
7386;44189;0.0;1620080908.0;4 May 2021 at 6:28:28pm PDT
6617;44189;0.0;1619741884.0;30 Apr 2021 at 8:18:04pm PDT
6617;44189;0.0;1619741881.0;30 Apr 2021 at 8:18:01pm PDT
6617;44189;0.0;1619556114.0;28 Apr 2021 at 4:41:54pm PDT
2248;35846;1.0;1620529609.0;9 May 2021 at 11:06:49am PDT
2248;35846;0.0;1619980203.0;3 May 2021 at 2:30:03am PDT
240;35846;0.0;1620099786.0;4 May 2021 at 11:43:06pm PDT
240;35846;0.0;1620099783.0;4 May 2021 at 11:43:03pm PDT
240;35846;0.0;1620099779.0;4 May 2021 at 11:42:59pm PDT
240;35846;0.0;1620099776.0;4 May 2021 at 11:42:56pm PDT
240;35846;0.0;1620099772.0;4 May 2021 at 11:42:52pm PDT
240;35846;0.0;1620099768.0;4 May 2021 at 11:42:48pm PDT
240;35846;0.0;1620099764.0;4 May 2021 at 11:42:44pm PDT
240;35846;0.0;1619927356.0;2 May 2021 at 11:49:16am PDT
2688;10042;0.0;1621133950.0;16 May 2021 at 10:59:10am PDT
2688;10042;0.0;1621120681.0;16 May 2021 at 7:18:01pm PDT
1662;10042;0.0;1620700669.0;11 May 2021 at 10:37:49am PDT
1662;10042;0.0;1620700668.0;11 May 2021 at 10:37:48am PDT
1662;10042;0.0;1620700666.0;11 May 2021 at 10:37:46am PDT
1662;10042;0.0;1620700664.0;11 May 2021 at 10:37:44am PDT
1662;10042;0.0;1620700662.0;11 May 2021 at 10:37:42am PDT
1662;10042;0.0;1620700659.0;11 May 2021 at 10:37:39am PDT
1361;10042;0.0;1621129428.0;16 May 2021 at 9:43:48am PDT
1361;10042;0.0;1621129424.0;16 May 2021 at 9:43:44am PDT
10301;35421;0.0;1620015069.0;3 May 2021 at 12:11:09pm PDT
10301;35421;0.0;1620015058.0;3 May 2021 at 12:10:58pm PDT
10301;35421;0.0;1619915437.0;2 May 2021 at 8:30:37am PDT
10301;35421;0.0;1619915413.0;2 May 2021 at 8:30:13am PDT
10301;35421;0.0;1619805184.0;1 May 2021 at 1:53:04pm PDT
10301;35421;0.0;1619805181.0;1 May 2021 at 1:53:01pm PDT
10301;35421;0.0;1619805179.0;1 May 2021 at 1:52:59pm PDT
10301;35421;0.0;1619805176.0;1 May 2021 at 1:52:56pm PDT
10301;35421;0.0;1619805174.0;1 May 2021 at 1:52:54pm PDT
2777;35421;0.0;1619907937.0;2 May 2021 at 6:25:37am PDT
14338;44441;0.0;1619727767.0;30 Apr 2021 at 4:22:47pm PDT
14338;44441;0.0;1619727736.0;30 Apr 2021 at 4:22:16pm PDT
14338;44441;0.0;1619727721.0;30 Apr 2021 at 4:22:01pm PDT
14338;44441;0.0;1619727717.0;30 Apr 2021 at 4:21:57pm PDT
10928;44441;0.0;1619832615.0;1 May 2021 at 9:30:15am PDT
10928;44441;0.0;1619832612.0;1 May 2021 at 9:30:12am PDT
10928;44441;0.0;1619832609.0;1 May 2021 at 9:30:09am PDT
10928;44441;0.0;1619832607.0;1 May 2021 at 9:30:07am PDT
10928;44441;0.0;1619832603.0;1 May 2021 at 9:30:03am PDT
