bidderID;asin;bidorBuy;unixBidTime;bidTime
5974;233;0.0;1620526937.0;9 May 2021 at 10:22:17pm PDT
5974;233;0.0;1620351993.0;7 May 2021 at 9:46:33pm PDT
5973;756;0.0;1620066296.0;4 May 2021 at 2:24:56pm PDT
5972;962;0.0;1621980007.0;26 May 2021 at 6:00:07pm PDT
5972;3137;0.0;1621532436.0;21 May 2021 at 1:40:36am PDT
5971;1282;0.0;1620770012.0;12 May 2021 at 5:53:32am PDT
5971;1282;0.0;1620767109.0;12 May 2021 at 5:05:09pm PDT
5971;1282;0.0;1620767103.0;12 May 2021 at 5:05:03pm PDT
5971;1282;0.0;1620767097.0;12 May 2021 at 5:04:57pm PDT
5971;1282;0.0;1620767088.0;12 May 2021 at 5:04:48pm PDT
5971;1282;0.0;1620766975.0;12 May 2021 at 5:02:55pm PDT
5971;1282;0.0;1620673975.0;11 May 2021 at 3:12:55am PDT
5971;1282;0.0;1620673972.0;11 May 2021 at 3:12:52am PDT
5971;1282;0.0;1620673969.0;11 May 2021 at 3:12:49am PDT
5971;1282;0.0;1620673966.0;11 May 2021 at 3:12:46am PDT
5971;1282;0.0;1620673964.0;11 May 2021 at 3:12:44am PDT
5971;1282;0.0;1620673962.0;11 May 2021 at 3:12:42am PDT
5971;2565;0.0;1619313306.0;25 Apr 2021 at 9:15:06am PDT
5971;2565;0.0;1619312790.0;25 Apr 2021 at 9:06:30am PDT
5971;2565;0.0;1619312767.0;25 Apr 2021 at 9:06:07am PDT
5971;2565;0.0;1619312762.0;25 Apr 2021 at 9:06:02am PDT
5971;2565;0.0;1619312757.0;25 Apr 2021 at 9:05:57am PDT
5971;2565;0.0;1619312745.0;25 Apr 2021 at 9:05:45am PDT
5970;158;0.0;1619377030.0;26 Apr 2021 at 2:57:10am PDT
5969;2811;0.0;1619390262.0;26 Apr 2021 at 6:37:42am PDT
5969;2811;1.0;1619388370.0;26 Apr 2021 at 6:06:10pm PDT
5969;2811;1.0;1619386639.0;26 Apr 2021 at 5:37:19pm PDT
5969;2811;0.0;1619386634.0;26 Apr 2021 at 5:37:14pm PDT
5969;2811;0.0;1619385725.0;26 Apr 2021 at 5:22:05pm PDT
5969;2811;0.0;1619385721.0;26 Apr 2021 at 5:22:01pm PDT
5969;2811;0.0;1619384978.0;26 Apr 2021 at 5:09:38am PDT
5969;2811;0.0;1619384966.0;26 Apr 2021 at 5:09:26am PDT
5969;2811;0.0;1619377427.0;26 Apr 2021 at 3:03:47pm PDT
5969;2811;0.0;1619372598.0;26 Apr 2021 at 1:43:18pm PDT
5969;2811;0.0;1619372468.0;26 Apr 2021 at 1:41:08pm PDT
5969;2811;0.0;1619233057.0;24 Apr 2021 at 10:57:37am PDT
5969;2811;0.0;1619038781.0;22 Apr 2021 at 4:59:41pm PDT
5969;2811;0.0;1618966492.0;21 Apr 2021 at 8:54:52am PDT
